,pptID,fileName,condition,age,gender,nationality,firstLang,trial,clipId,freetext,Competing,Cooperating,PlaySeparate,PlayTogether,leftSad,rightSad,leftHappy,rightHappy,leftAngry,rightAngry,leftExcited,rightExcited,leftCalm,rightCalm,leftFriendly,rightFriendly,leftAggressive,rightAggressive,leftEngaged,rightEngaged,leftDistracted,rightDistracted,leftBored,rightBored,leftFrustrated,rightFrustrated,leftDominant,rightDominant,leftSubmissive,rightSubmissive,diffSad,sumSad,diffHappy,sumHappy,diffAngry,sumAngry,diffExcited,sumExcited,diffCalm,sumCalm,diffFriendly,sumFriendly,diffAggressive,sumAggressive,diffEngaged,sumEngaged,diffDistracted,sumDistracted,diffBored,sumBored,diffFrustrated,sumFrustrated,diffDominant,sumDominant,diffSubmissive,sumSubmissive
4,94,10kinos8b34va6_data.csv,1,23,Male,American,English,1,15,I notice that they slow down towards the end most likely because they are trying to find the best option.,3,3,0,4,1,1,3,3,1,1,2,2,2,2,1,1,3,3,3,3,1,1,2,1,1,2,2,2,2,2,0,-2,0,2,0,-2,0,0,0,0,0,-2,0,2,0,2,0,-2,1,-1,1,-1,0,0,0,0
5,94,10kinos8b34va6_data.csv,1,23,Male,American,English,2,02,"The child on the right seems to be taking over, while the one on the left is participating as well.",3,2,0,3,1,1,2,2,1,3,1,3,3,1,3,1,1,3,3,3,1,0,1,1,1,3,4,1,3,0,0,-2,0,0,2,0,2,0,2,0,2,0,2,0,0,2,1,-3,0,-2,2,0,3,1,3,-1
6,94,10kinos8b34va6_data.csv,1,23,Male,American,English,3,08,"Both seem pretty calm, but the child on the left does not seem to be interested.",1,2,3,1,2,1,2,2,1,1,1,2,2,3,1,3,1,0,1,3,4,1,4,1,2,1,1,2,3,2,1,-1,0,0,0,-2,1,-1,1,1,2,0,1,-3,2,0,3,1,3,1,1,-1,1,-1,1,1
7,94,10kinos8b34va6_data.csv,1,23,Male,American,English,4,11,These children seem to be working together pretty well and communicating about something.,1,3,0,4,1,1,3,3,1,1,3,3,2,2,3,3,1,1,3,4,1,1,1,1,1,1,2,2,1,1,0,-2,0,2,0,-2,0,2,0,0,0,2,0,-2,1,3,0,-2,0,-2,0,-2,0,0,0,-2
20,95,11kinbyymgve2g_data.csv,1,39,Female,American,English,1,18,They were playing together and the one on the left stopped,2,3,1,3,1,1,2,4,1,2,0,4,2,1,3,2,1,1,1,4,4,0,3,0,1,3,0,4,3,0,0,-2,2,2,1,-1,4,0,1,-1,1,1,0,-2,3,1,4,0,3,-1,2,0,4,0,3,-1
21,95,11kinbyymgve2g_data.csv,1,39,Female,American,English,2,19,It seems like they were showing each other how to play,0,4,0,4,0,0,3,3,0,0,2,2,4,4,4,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,-4,0,2,0,-4,0,0,0,4,0,4,0,-4,0,4,0,-4,0,-4,0,-4,0,-4,0,-4
22,95,11kinbyymgve2g_data.csv,1,39,Female,American,English,3,10,The child on the right messed up and got frustrated a little bit,1,2,3,1,0,2,2,2,0,0,1,1,2,3,1,3,3,0,2,4,3,0,2,0,1,3,3,1,0,3,2,-2,0,0,0,-4,0,-2,1,1,2,0,3,-1,2,2,3,-1,2,-2,2,0,2,0,3,-1
23,95,11kinbyymgve2g_data.csv,1,39,Female,American,English,4,04,I saw they were playing together and learning from each other,0,4,0,4,0,0,3,3,0,0,2,3,4,4,4,4,0,0,4,4,0,0,0,0,0,0,0,0,1,1,0,-4,0,2,0,-4,1,1,0,4,0,4,0,-4,0,4,0,-4,0,-4,0,-4,0,-4,0,-2
36,8,12kinbaze9snso_data.csv,1,34,Male,Indian,Hindi,1,06,they are playing with there hands ,3,3,3,4,2,1,3,3,2,1,1,3,3,1,4,1,1,3,1,3,2,2,2,1,2,1,1,3,2,3,1,-1,0,2,1,-1,2,0,2,0,3,1,2,0,2,0,0,0,1,-1,1,-1,2,0,1,1
37,8,12kinbaze9snso_data.csv,1,34,Male,Indian,Hindi,2,16,The left child is giving something to a right child and right child is taking that thing and putting on the table,2,3,1,4,1,1,3,2,1,1,3,1,1,3,3,3,3,1,1,3,1,1,1,1,1,1,3,1,2,2,0,-2,1,1,0,-2,2,0,2,0,0,2,2,0,2,0,0,-2,0,-2,0,-2,2,0,0,0
38,8,12kinbaze9snso_data.csv,1,34,Male,Indian,Hindi,3,19,Both children talking to each other and putting something on table ,3,4,2,3,1,1,3,3,1,1,3,3,3,3,3,3,3,3,4,4,1,1,1,1,1,1,3,3,3,3,0,-2,0,2,0,-2,0,2,0,2,0,2,0,2,0,4,0,-2,0,-2,0,-2,0,2,0,2
39,8,12kinbaze9snso_data.csv,1,34,Male,Indian,Hindi,4,07,Right child is giving instruction to left child ,3,4,1,3,1,1,3,3,1,1,2,3,3,1,3,3,1,3,3,3,1,1,1,1,1,1,1,4,2,2,0,-2,0,2,0,-2,1,1,2,0,0,2,2,0,0,2,0,-2,0,-2,0,-2,3,1,0,0
