,pptID,fileName,condition,age,gender,nationality,firstLang,trial,clipId,freetext,Competing,Cooperating,PlaySeparate,PlayTogether,leftSad,rightSad,leftHappy,rightHappy,leftAngry,rightAngry,leftExcited,rightExcited,leftCalm,rightCalm,leftFriendly,rightFriendly,leftAggressive,rightAggressive,leftEngaged,rightEngaged,leftDistracted,rightDistracted,leftBored,rightBored,leftFrustrated,rightFrustrated,leftDominant,rightDominant,leftSubmissive,rightSubmissive,diffSad,sumSad,diffHappy,sumHappy,diffAngry,sumAngry,diffExcited,sumExcited,diffCalm,sumCalm,diffFriendly,sumFriendly,diffAggressive,sumAggressive,diffEngaged,sumEngaged,diffDistracted,sumDistracted,diffBored,sumBored,diffFrustrated,sumFrustrated,diffDominant,sumDominant,diffSubmissive,sumSubmissive
0,186,10kin7dm75u231_data.csv,2,30,Female,Indian,Tamil,1,04,PLAY TOGETHER THE CARD GAME TO ENJOY THEM . INDOOR GAME TO PLAY. TO SIT AND PLAY.,3,4,2,4,1,1,4,4,2,1,4,3,2,2,3,4,2,2,3,4,2,2,1,2,1,2,2,2,2,2,0,-2,0,4,1,-1,1,3,0,0,1,3,0,0,1,3,0,0,1,-1,1,-1,0,0,0,0
1,186,10kin7dm75u231_data.csv,2,30,Female,Indian,Tamil,2,09,PLAYING TOGETHER FOR TWO CHILDREN . TO PLAY CARD GAME . ARE VERY INTERESTING TO PLAY.,4,2,2,3,3,4,2,2,3,3,3,3,3,4,2,2,3,4,2,3,3,4,3,3,3,4,3,4,3,3,1,3,0,0,0,2,0,2,1,3,0,0,1,3,1,1,1,3,0,2,1,3,1,3,0,2
2,186,10kin7dm75u231_data.csv,2,30,Female,Indian,Tamil,3,16,PLAYING TOGETHER THE GAME. PLAY TO LEARNING THE GAME.,3,2,2,4,3,4,2,2,2,2,3,3,3,4,2,2,3,3,3,3,3,4,3,3,3,3,3,4,3,3,1,3,0,0,0,0,0,2,1,3,0,0,0,2,0,2,1,3,0,2,0,2,1,3,0,2
3,186,10kin7dm75u231_data.csv,2,30,Female,Indian,Tamil,4,02,PLAYING TO LEARNING TOGETHER. TO PLAY INTERESTING FOR GAME.,2,3,2,3,3,3,2,3,2,3,3,3,2,2,2,2,3,3,3,3,3,4,3,3,2,2,3,3,3,3,0,2,1,1,1,1,0,2,0,0,0,0,0,2,0,2,1,3,0,2,0,0,0,2,0,2
8,155,10kinqv5zq7rl5_data.csv,2,28,Male,American,English,1,12,"They got along quite well and helped each other accomplish their task. The girl on the right is much more serious, but they work well together.",1,0,1,0,0,2,1,1,4,3,0,2,1,1,0,4,2,2,4,1,0,4,3,2,2,4,2,2,4,2,2,-2,0,-2,1,3,2,-2,0,-2,4,0,0,0,3,1,4,0,1,1,2,2,0,0,2,2
9,155,10kinqv5zq7rl5_data.csv,2,28,Male,American,English,2,07,"They played separately largely. They were fine with one another's presence, but largely ignored one another.",4,3,2,1,0,3,0,0,3,0,4,0,0,4,4,2,4,1,0,1,3,0,4,1,3,4,3,3,0,2,3,-1,0,-4,3,-1,4,0,4,0,2,2,3,1,1,-3,3,-1,3,1,1,3,0,2,2,-2
10,155,10kinqv5zq7rl5_data.csv,2,28,Male,American,English,3,05,The one on the right was much more interested in playing than the other.,1,2,4,1,3,0,4,2,2,0,4,0,3,1,1,3,2,1,0,0,0,4,4,1,3,4,4,4,1,2,3,-1,2,2,2,-2,4,0,2,0,2,0,1,-1,0,-4,4,0,3,1,1,3,0,4,1,-1
11,155,10kinqv5zq7rl5_data.csv,2,28,Male,American,English,4,06,"The one on the left is not very interested, the one on the right is into it.",4,0,3,2,0,3,4,4,3,2,3,0,4,0,1,0,1,0,2,1,2,4,2,0,4,4,1,2,1,3,3,-1,0,4,1,1,3,-1,4,0,1,-3,1,-3,1,-1,2,2,2,-2,0,4,1,-1,2,0
12,156,10kinza06rx91m_data.csv,2,29,Female,American,English,1,06,They were working together peacefully with no problems. They seemed to get along well and they were focused on the activity.,2,4,1,3,0,0,3,3,0,0,2,2,4,4,3,3,0,0,4,4,0,0,0,0,0,0,1,1,0,0,0,-4,0,2,0,-4,0,0,0,4,0,2,0,-4,0,4,0,-4,0,-4,0,-4,0,-2,0,-4
13,156,10kinza06rx91m_data.csv,2,29,Female,American,English,2,16,The child in pink was frustrated and kept pushing the other child's hand away and they didn't seem to get along. The child in yellow seemed a bit bossy.,2,1,4,1,1,3,1,1,1,3,2,2,2,1,1,1,3,2,2,3,0,0,0,0,2,3,3,1,1,1,2,0,0,-2,2,0,0,0,1,-1,0,-2,1,1,1,1,0,-4,0,-4,1,1,2,0,0,-2
14,156,10kinza06rx91m_data.csv,2,29,Female,American,English,3,15,The child on the left was distracted by his paper and seemed fine mostly watching the other child play. The Child on the left was doing most of the activity on his own.,0,2,1,3,0,0,4,4,0,0,2,2,2,3,4,3,0,0,1,4,3,0,0,0,0,0,1,2,3,0,0,-4,0,4,0,-4,0,0,1,1,1,3,0,-4,3,1,3,-1,0,-4,0,-4,1,-1,3,-1
15,156,10kinza06rx91m_data.csv,2,29,Female,American,English,4,14,The child on the left was a little bit aggressive and wanted to distract the other child instead of working together.,2,1,2,2,0,2,3,2,0,0,2,1,0,4,3,3,3,0,2,4,3,0,0,0,0,3,4,0,0,3,2,-2,1,1,0,-4,1,-1,4,0,0,2,3,-1,2,2,3,-1,0,-4,3,-1,4,0,3,-1
16,157,11kin80y59a52w_data.csv,2,31,Male,American,English,1,12,The children seemed to be playing and having fun. They looked like they were enjoying themselves. The children seemed to be cooperating and getting along well.,1,3,1,3,0,0,4,3,0,1,3,2,2,3,4,3,2,1,4,3,0,1,0,1,0,1,3,1,0,2,0,-4,1,3,1,-3,1,1,1,1,1,3,1,-1,1,3,1,-3,1,-3,1,-3,2,0,2,-2
17,157,11kin80y59a52w_data.csv,2,31,Male,American,English,2,19,The children both seemed calm and content. They were interacting with each other and exchanging information that they used to play with the board. They seemed relaxed and cooperative. It looks like maybe they know each other.,1,4,0,4,0,0,3,2,0,0,1,2,3,3,3,3,1,1,3,3,0,1,1,1,1,1,1,1,2,2,0,-4,1,1,0,-4,1,-1,0,2,0,2,0,-2,0,2,1,-3,0,-2,0,-2,0,-2,0,0
18,157,11kin80y59a52w_data.csv,2,31,Male,American,English,3,20,"the children seemed to be having fun. The right child was more excited, while the left child was slightly more active and dominant in the activity. They seemed to be getting along and cooperating though sometimes playing separately.",1,3,2,3,1,0,2,3,0,0,1,3,3,1,2,4,3,1,4,3,0,1,0,1,1,1,3,1,0,2,1,-3,1,1,0,-4,2,0,2,0,2,2,2,0,1,3,1,-3,1,-3,0,-2,2,0,2,-2
19,157,11kin80y59a52w_data.csv,2,31,Male,American,English,4,09,The children seemed cooperative and chatty. The right child seemed slightly more in control and assertive. The right child also seemed slightly more distracted from the table at times. ,2,2,0,4,1,1,3,2,1,1,2,3,2,1,3,2,2,3,3,2,1,3,1,0,1,3,1,3,2,1,0,-2,1,1,0,-2,1,1,1,-1,1,1,1,1,1,1,2,0,1,-3,2,0,2,0,1,-1
24,187,11kinyr642nr9g_data.csv,2,25,Female,American,English,1,15,"They were entirely focused on the tablet ? Or whatever screen is on the table. They seem to be having fun, however but aren't really talking with each other. ",2,3,3,1,0,0,4,4,0,0,4,4,4,4,4,4,0,0,4,4,0,0,3,0,0,0,0,4,4,0,0,-4,0,4,0,-4,0,4,0,4,0,4,0,-4,0,4,0,-4,3,-1,0,-4,4,0,4,0
25,187,11kinyr642nr9g_data.csv,2,25,Female,American,English,2,08,They weren't interacting with each other and the one on the right was entirely engaged.,0,1,4,2,0,0,0,4,0,0,0,4,4,4,3,3,0,0,0,4,4,0,4,0,3,0,0,4,4,0,0,-4,4,0,0,-4,4,0,0,4,0,2,0,-4,4,0,4,0,4,0,3,-1,4,0,4,0
26,187,11kinyr642nr9g_data.csv,2,25,Female,American,English,3,06,,0,4,0,4,0,0,4,4,0,0,4,4,4,4,4,4,0,0,4,4,0,0,0,0,0,0,4,4,0,0,0,-4,0,4,0,-4,0,4,0,4,0,4,0,-4,0,4,0,-4,0,-4,0,-4,0,4,0,-4
27,187,11kinyr642nr9g_data.csv,2,25,Female,American,English,4,10,They were both taking turns and playing together. There was no competitiveness. ,0,4,0,4,0,0,4,4,0,0,4,4,4,4,4,4,0,0,4,4,0,0,0,0,0,0,1,1,0,0,0,-4,0,4,0,-4,0,4,0,4,0,4,0,-4,0,4,0,-4,0,-4,0,-4,0,-2,0,-4
28,158,12kin1m12h5k4n_data.csv,2,24,Male,Other,English,1,07,They seem to get along well.,0,1,2,2,3,0,0,1,1,0,0,0,0,1,0,4,2,0,0,0,0,1,2,1,4,3,2,3,4,0,3,-1,1,-3,1,-3,0,-4,1,-3,4,0,2,-2,0,-4,1,-3,1,-1,1,3,1,1,4,0
29,158,12kin1m12h5k4n_data.csv,2,24,Male,Other,English,2,13,They seem to be a bit upset.,0,1,0,2,1,4,3,0,4,4,0,3,0,0,1,1,2,2,4,4,2,4,4,2,4,1,4,1,1,3,3,1,3,-1,0,4,3,-1,0,-4,0,-2,0,0,0,4,2,2,2,2,3,1,3,1,2,0
30,158,12kin1m12h5k4n_data.csv,2,24,Male,Other,English,3,03,They seem to be quite excited.,1,4,4,2,4,3,3,1,0,1,1,0,3,1,3,3,0,2,1,0,3,3,1,3,4,2,3,2,1,0,1,3,2,0,1,-3,1,-3,2,0,0,2,2,-2,1,-3,0,2,2,0,2,2,1,1,1,-3
31,158,12kin1m12h5k4n_data.csv,2,24,Male,Other,English,4,09,They seem quite bored.,1,1,2,0,1,0,0,3,2,1,4,1,3,4,2,4,3,3,4,2,2,0,1,2,1,3,3,2,1,4,1,-3,3,-1,1,-1,3,1,1,3,2,2,0,2,2,2,2,-2,1,-1,2,0,1,1,3,1
32,159,12kin7szr9dcw8_data.csv,2,37,Male,American,English,1,05,They both seem to be interacting with the screen independently of each other,0,0,4,0,2,0,1,4,2,0,1,4,3,1,1,3,2,1,1,4,1,0,3,0,2,0,1,1,1,1,2,-2,3,1,2,-2,3,1,2,0,2,0,1,-1,3,1,1,-3,3,-1,2,-2,0,-2,0,-2
33,159,12kin7szr9dcw8_data.csv,2,37,Male,American,English,2,06,they seem to be playing together and enjoying their time,2,3,0,3,0,0,3,3,0,0,2,3,3,2,3,3,0,0,3,3,0,0,1,1,0,0,1,1,1,1,0,-4,0,2,0,-4,1,1,1,1,0,2,0,-4,0,2,0,-4,0,-2,0,-4,0,-2,0,-2
34,159,12kin7szr9dcw8_data.csv,2,37,Male,American,English,3,03,they are playing together and very excited and probably competing in a game,3,2,0,4,0,0,4,4,0,0,4,4,1,1,4,4,2,2,4,4,0,0,0,0,0,0,2,2,1,1,0,-4,0,4,0,-4,0,4,0,-2,0,4,0,0,0,4,0,-4,0,-4,0,-4,0,0,0,-2
35,159,12kin7szr9dcw8_data.csv,2,37,Male,American,English,4,01,they seem to be having fun and probably playing a game where they compete with each other,4,2,0,4,0,0,4,4,0,0,4,4,1,1,3,3,0,0,4,4,0,0,0,0,0,0,1,1,1,1,0,-4,0,4,0,-4,0,4,0,-2,0,2,0,-4,0,4,0,-4,0,-4,0,-4,0,-2,0,-2
48,200,13kinalq28em8u_data.csv,2,34,Male,Indian,Tamil,1,02,They were playing with board ,3,3,3,3,1,1,3,3,1,1,3,3,1,2,3,3,1,1,3,3,3,3,1,1,1,2,2,2,1,2,0,-2,0,2,0,-2,0,2,1,-1,0,2,0,-2,0,2,0,2,0,-2,1,-1,0,0,1,-1
49,200,13kinalq28em8u_data.csv,2,34,Male,Indian,Tamil,2,16,They are playing without co-operation,1,1,1,1,3,1,1,3,3,1,1,1,3,1,2,3,1,3,2,2,1,3,3,1,3,2,2,3,2,2,2,0,2,0,2,0,0,-2,2,0,1,1,2,0,0,0,2,0,2,0,1,1,1,1,0,0
50,200,13kinalq28em8u_data.csv,2,34,Male,Indian,Tamil,3,01,"they are playing with friendly and both are interaction
",3,2,1,3,2,1,3,3,2,1,1,3,3,1,3,3,1,3,2,3,3,3,1,1,2,2,1,1,2,2,1,-1,0,2,1,-1,2,0,2,0,0,2,2,0,1,1,0,2,0,-2,0,0,0,-2,0,0
51,200,13kinalq28em8u_data.csv,2,34,Male,Indian,Tamil,4,20,they are playing with friendly and both are interacting on board,4,3,1,4,0,0,3,3,0,0,2,3,1,3,4,4,1,1,4,3,1,3,0,0,0,0,2,2,3,1,0,-4,0,2,0,-4,1,1,2,0,0,4,0,-2,1,3,2,0,0,-4,0,-4,0,0,2,0
52,188,13kinp1xk4ayzj_data.csv,2,30,Female,Indian,Tamil,1,16,PLAYING TOGETHER THE GAME. TO VERY INTERESTING TO PLAY.,3,3,2,4,2,2,2,2,3,4,3,4,2,2,2,2,3,4,3,4,3,4,3,4,3,4,3,4,2,3,0,0,0,0,1,3,1,3,0,0,0,0,1,3,1,3,1,3,1,3,1,3,1,3,1,1
53,188,13kinp1xk4ayzj_data.csv,2,30,Female,Indian,Tamil,2,14,PLAYING TOGETHER GAME . TO INDIMATE THE MAP GAME.,3,3,2,3,2,2,3,4,2,2,3,4,2,2,3,3,3,4,3,4,3,4,2,2,3,4,3,4,3,4,0,0,1,3,0,0,1,3,0,0,0,2,1,3,1,3,1,3,0,0,1,3,1,3,1,3
54,188,13kinp1xk4ayzj_data.csv,2,30,Female,Indian,Tamil,3,05,TO PLAYING TOGETHER GAME TO VERY INTERESTING TO PLAY.,3,3,2,3,3,2,2,3,4,2,3,4,4,2,2,3,3,4,3,4,3,4,3,2,3,4,3,3,3,4,1,1,1,1,2,2,1,3,2,2,1,1,1,3,1,3,1,3,1,1,1,3,0,2,1,3
55,188,13kinp1xk4ayzj_data.csv,2,30,Female,Indian,Tamil,4,10,TOCHING GAME TO VERY INTERESTING TO PLAY,2,3,2,4,2,2,2,3,3,2,3,2,2,3,3,4,3,3,3,3,2,3,2,2,3,4,3,3,3,2,0,0,1,1,1,1,1,1,1,1,1,3,0,2,0,2,1,1,0,0,1,3,0,2,1,1
68,151,15kin7c5psq3xb_data.csv,2,30,Male,American,English,1,05,One seemed enthusiastic and the other seemed pretty bored the whole time.,1,1,3,1,1,1,1,3,1,1,1,3,1,3,2,3,1,1,1,3,2,3,3,1,3,1,1,1,1,1,0,-2,2,0,0,-2,2,0,2,0,1,1,0,-2,2,0,1,1,2,0,2,0,0,-2,0,-2
69,151,15kin7c5psq3xb_data.csv,2,30,Male,American,English,2,03,Both children were enthusiastic and happy while playing with each other.,3,3,1,3,1,1,3,3,1,1,3,3,1,1,3,3,1,1,3,3,1,1,1,1,1,1,1,1,1,1,0,-2,0,2,0,-2,0,2,0,-2,0,2,0,-2,0,2,0,-2,0,-2,0,-2,0,-2,0,-2
