,trial_type,trial_index,time_elapsed,internal_node_id,subject,rt,stimulus,key_press,button_pressed,responses
TRUE,fullscreen,0,256386,0.0-0.0,1,,,,,
,html-keyboard-response,1,259292,0.0-1.0,1,2901,Welcome to the experiment. Press any key to begin.,32,,
,html-button-response,2,283376,0.0-2.0,1,24079,"<p> Consent Form. <p><p> In this experiment you will watch videos of children playing a game on a touch screen table-top.<p><p> You will be asked to judge how engaged each child is with the table-top game. <p><p> Your responses will be anonymised and saved at the end of the experiment.<p><p> You can withdraw from the experiment any time without penalty or loss of benefits to which you are otherwise entitled. You can withdraw by pressing the ESC button during the experiment, or by contacting the researchers after completing the experiment. <p><p> If you have any questions please contact Madeleine Bartlett at madeleine.bartlett@plymouth.ac.uk <p><p> <p><p> Please indicate below if you consent to participate in this study. (If you choose not to consent, press ESC to leave the experiment window.) <p>",,0,
,html-keyboard-response,3,291406,0.0-3.0,1,8026,<p>During this experiment you will be shown short videos of children playing a game on a touch screen table-top.</p><p> Pay particular attention to how engaged the child is with the table-top game. </p><p> After each video you will be asked to judge the child's engagement. <p/><p>Press any key to begin.</p>,32,,
,video,4,306144,0.0-4.0-0.0,1,,"[""Clips/A8.mp4""]",,,
,survey-likert,5,314682,0.0-4.0-1.0,1,8533,,,,"{""Q0"":6}"
,video,6,334071,0.0-4.0-0.1,1,,"[""Clips/NP5.mp4""]",,,
,survey-likert,7,343529,0.0-4.0-1.1,1,9454,,,,"{""Q0"":2}"
,video,8,359293,0.0-4.0-0.2,1,,"[""Clips/NP2.mp4""]",,,
,survey-likert,9,364344,0.0-4.0-1.2,1,5049,,,,"{""Q0"":0}"
,video,10,378740,0.0-4.0-0.3,1,,"[""Clips/A3.mp4""]",,,
,survey-likert,11,381792,0.0-4.0-1.3,1,3047,,,,"{""Q0"":6}"
,video,12,394924,0.0-4.0-0.4,1,,"[""Clips/A2.mp4""]",,,
,survey-likert,13,402576,0.0-4.0-1.4,1,7650,,,,"{""Q0"":4}"
,video,14,417972,0.0-4.0-0.5,1,,"[""Clips/GO8.mp4""]",,,
,survey-likert,15,420776,0.0-4.0-1.5,1,2801,,,,"{""Q0"":6}"
,video,16,435840,0.0-4.0-0.6,1,,"[""Clips/NP8.mp4""]",,,
,survey-likert,17,441191,0.0-4.0-1.6,1,5348,,,,"{""Q0"":1}"
,video,18,459251,0.0-4.0-0.7,1,,"[""Clips/NP6.mp4""]",,,
,survey-likert,19,464015,0.0-4.0-1.7,1,4759,,,,"{""Q0"":1}"
,video,20,485412,0.0-4.0-0.8,1,,"[""Clips/GO3.mp4""]",,,
,survey-likert,21,488230,0.0-4.0-1.8,1,2805,,,,"{""Q0"":6}"
,video,22,511789,0.0-4.0-0.9,1,,"[""Clips/A4.mp4""]",,,
,survey-likert,23,514615,0.0-4.0-1.9,1,2824,,,,"{""Q0"":6}"
,video,24,538472,0.0-4.0-0.10,1,,"[""Clips/GO6.mp4""]",,,
,survey-likert,25,540863,0.0-4.0-1.10,1,2388,,,,"{""Q0"":6}"
,video,26,554322,0.0-4.0-0.11,1,,"[""Clips/NP4.mp4""]",,,
,survey-likert,27,559791,0.0-4.0-1.11,1,5465,,,,"{""Q0"":2}"
,video,28,577720,0.0-4.0-0.12,1,,"[""Clips/NP3.mp4""]",,,
,survey-likert,29,581583,0.0-4.0-1.12,1,3860,,,,"{""Q0"":1}"
,video,30,604382,0.0-4.0-0.13,1,,"[""Clips/GO4.mp4""]",,,
,survey-likert,31,608567,0.0-4.0-1.13,1,4179,,,,"{""Q0"":5}"
,video,32,632295,0.0-4.0-0.14,1,,"[""Clips/NP7.mp4""]",,,
,survey-likert,33,634238,0.0-4.0-1.14,1,1940,,,,"{""Q0"":0}"
,video,34,647127,0.0-4.0-0.15,1,,"[""Clips/A7.mp4""]",,,
,survey-likert,35,653654,0.0-4.0-1.15,1,6525,,,,"{""Q0"":4}"
,video,36,670544,0.0-4.0-0.16,1,,"[""Clips/NP9.mp4""]",,,
,survey-likert,37,676534,0.0-4.0-1.16,1,5986,,,,"{""Q0"":2}"
,video,38,704563,0.0-4.0-0.17,1,,"[""Clips/GO2.mp4""]",,,
,survey-likert,39,706710,0.0-4.0-1.17,1,2142,,,,"{""Q0"":5}"
,video,40,737904,0.0-4.0-0.18,1,,"[""Clips/A1.mp4""]",,,
,survey-likert,41,742094,0.0-4.0-1.18,1,4187,,,,"{""Q0"":4}"
,video,42,754718,0.0-4.0-0.19,1,,"[""Clips/GO1.mp4""]",,,
,survey-likert,43,758222,0.0-4.0-1.19,1,3502,,,,"{""Q0"":2}"
,video,44,774208,0.0-4.0-0.20,1,,"[""Clips/A5.mp4""]",,,
,survey-likert,45,777774,0.0-4.0-1.20,1,3561,,,,"{""Q0"":5}"
,video,46,794606,0.0-4.0-0.21,1,,"[""Clips/GO7.mp4""]",,,
,survey-likert,47,798333,0.0-4.0-1.21,1,3724,,,,"{""Q0"":5}"
,video,48,814455,0.0-4.0-0.22,1,,"[""Clips/NP1.mp4""]",,,
,survey-likert,49,816621,0.0-4.0-1.22,1,2165,,,,"{""Q0"":2}"
,video,50,828683,0.0-4.0-0.23,1,,"[""Clips/GO5.mp4""]",,,
,survey-likert,51,831189,0.0-4.0-1.23,1,2502,,,,"{""Q0"":3}"
,video,52,850752,0.0-4.0-0.24,1,,"[""Clips/GO9.mp4""]",,,
,survey-likert,53,853940,0.0-4.0-1.24,1,3186,,,,"{""Q0"":5}"
