"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","stimulus","key_press","button_pressed","responses"
"true","fullscreen","0","5477","0.0-0.0","2","","","","",""
"","html-keyboard-response","1","7558","0.0-1.0","2","2077","Welcome to the experiment. Press any key to begin.","13","",""
"","html-button-response","2","9820","0.0-2.0","2","2260","<p> Consent Form. <p><p> In this experiment you will watch videos of children playing a game on a touch screen table-top.<p><p> You will be asked to judge how engaged each child is with the table-top game. <p><p> Your responses will be anonymised and saved at the end of the experiment.<p><p> You can withdraw from the experiment any time without penalty or loss of benefits to which you are otherwise entitled. You can withdraw by pressing the ESC button during the experiment, or by contacting the researchers after completing the experiment. <p><p> If you have any questions please contact Madeleine Bartlett at madeleine.bartlett@plymouth.ac.uk <p><p> <p><p> Please indicate below if you consent to participate in this study. (If you choose not to consent, press ESC to leave the experiment window.) <p>","","0",""
"","html-keyboard-response","3","12122","0.0-3.0","2","2297","<p>During this experiment you will be shown short videos of children playing a game on a touch screen table-top.</p><p> Pay particular attention to how engaged the child is with the table-top game. </p><p> After each video you will be asked to judge the child's engagement. <p/><p>Press any key to begin.</p>","13","",""
"","video","4","29758","0.0-4.0-0.0","2","","[""Clips/NP1.mp4""]","","",""
"","survey-likert","5","36303","0.0-4.0-1.0","2","6539","","","","{""Q0"":3}"
"","video","6","52060","0.0-4.0-0.1","2","","[""Clips/NP2.mp4""]","","",""
"","survey-likert","7","55998","0.0-4.0-1.1","2","3934","","","","{""Q0"":5}"
"","video","8","72591","0.0-4.0-0.2","2","","[""Clips/A9.mp4""]","","",""
"","survey-likert","9","74685","0.0-4.0-1.2","2","2090","","","","{""Q0"":6}"
"","video","10","91516","0.0-4.0-0.3","2","","[""Clips/GO7.mp4""]","","",""
"","survey-likert","11","93670","0.0-4.0-1.3","2","2150","","","","{""Q0"":6}"
"","video","12","113967","0.0-4.0-0.4","2","","[""Clips/GO14.mp4""]","","",""
"","survey-likert","13","116709","0.0-4.0-1.4","2","2739","","","","{""Q0"":6}"
"","video","14","130644","0.0-4.0-0.5","2","","[""Clips/GO11.mp4""]","","",""
"","survey-likert","15","132310","0.0-4.0-1.5","2","1661","","","","{""Q0"":4}"
"","video","16","163505","0.0-4.0-0.6","2","","[""Clips/A1.mp4""]","","",""
"","survey-likert","17","165892","0.0-4.0-1.6","2","2384","","","","{""Q0"":2}"
"","video","18","179116","0.0-4.0-0.7","2","","[""Clips/A8.mp4""]","","",""
"","survey-likert","19","184523","0.0-4.0-1.7","2","5403","","","","{""Q0"":5}"
"","video","20","199588","0.0-4.0-0.8","2","","[""Clips/NP8.mp4""]","","",""
"","survey-likert","21","201452","0.0-4.0-1.8","2","1861","","","","{""Q0"":4}"
"","video","22","216336","0.0-4.0-0.9","2","","[""Clips/NP13.mp4""]","","",""
"","survey-likert","23","218316","0.0-4.0-1.9","2","1972","","","","{""Q0"":3}"
"","video","24","237882","0.0-4.0-0.10","2","","[""Clips/GO9.mp4""]","","",""
"","survey-likert","25","239915","0.0-4.0-1.10","2","2030","","","","{""Q0"":6}"
"","video","26","266450","0.0-4.0-0.11","2","","[""Clips/A11.mp4""]","","",""
